Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BRIDGE.LPC/BRIDGE.BTC,	3839439621,	843823,	0.50001000003333066,	82900.179893390368657,	191.97582050242,	7
BRIDGE.RVN/BTS,	6913336,	51264777,	0.6100099,	0,	421.72034020264,	33
BRIDGE.MNT/BRIDGE.BTC,	17566169145,	17566,	0.02,	82900.179893390368657,	351.3233829,	1
BRIDGE.RVN/BRIDGE.BTC,	4367020555,	379615288,	0.6100099,	82900.179893390368657,	266392.57720535,	971
BRIDGE.USERV/BRIDGE.BTC,	27164179105,	5460,	0,	82900.179893390368657,	4.5263498221791,	1
BRIDGE.BTC/BRIDGE.PRJ,	8286330,	671367970029,	82900.179893390368657,	0,	6869.38247656,	38
BRIDGE.XZC/BRIDGE.BTC,	289232215,	4053083,	0.09524100000151779,	82900.179893390368657,	2.7546765389254,	28
BRIDGE.BTC/BRIDGE.HANA,	4445,	1491804114,	82900.179893390368657,	0,	3.6849129962612,	3
BRIDGE.GRVS/BRIDGE.BTC,	790000000,	19750,	0,	82900.179893390368657,	16.372785528945,	1
BRIDGE.BTC/BRIDGE.DGB,	12799474,	4196295481208,	82900.179893390368657,	0.295999998414175,	10610.786971408,	33
BRIDGE.BCA/BRIDGE.BTC,	1198244887,	395827,	0.07256894049346879,	82900.179893390368657,	8.6955361901306,	3
BRIDGE.ZBA/BRIDGE.BTC,	47892477396,	177353,	0,	82900.179893390368657,	147.02595604632,	4
BRIDGE.GIN/BRIDGE.BTC,	1012994115173,	170172348,	0.5100001000046956,	82900.179893390368657,	5166.271000424,	298
BRIDGE.PRTX/BRIDGE.BTC,	242209636304,	300340,	0.02080299563137091,	82900.179893390368657,	503.8686005908,	11
BRIDGE.BTC/BRIDGE.TRTT,	9922376,	50675630541,	82900.179893390368657,	0.00105700000000102,	8225.6675536986,	33
BRIDGE.DEV/BRIDGE.BTC,	427785852019,	73795437,	0.60000002400000096,	82900.179893390368657,	25667.152147826,	62
BRIDGE.BTC/BRIDGE.CATO,	1503133,	39267806729,	82900.179893390368657,	0,	1246.0999610369,	23
BRIDGE.BTC/BRIDGE.ETH,	90008441,	24877481,	82900.179893390368657,	2890.900005525864995224,	74617.159508236,	92
BRIDGE.MIDAS/BRIDGE.BTC,	67543367529,	9614641,	0,	82900.179893390368657,	7970.5546851037,	25
BRIDGE.SUQA/BRIDGE.BTC,	12343121138,	7669067,	0.1,	82900.179893390368657,	12343.121138,	49
BRIDGE.BTC/BRIDGE.CDM,	6307117,	2046870158348,	82900.179893390368657,	0.000470300000000505,	5228.6113390866,	119
BRIDGE.HTML/BTS,	353939711,	2442184,	0.00499999980756546411,	0,	176.96984868898,	1
BRIDGE.YOKE/BRIDGE.BTC,	6488000000,	25952,	0.000066770000000037,	82900.179893390368657,	0.43320376000024,	4
BRIDGE.SINS/BRIDGE.BTC,	26323952198,	163781185,	0,	82900.179893390368657,	135774.89699653,	284
BRIDGE.BCO/BTS,	737650691,	49735341,	6.88238483424515096,	0,	507.67959287089,	25
BRIDGE.SPLB/BRIDGE.BTC,	1424285715,	997,	0.00001128208611187,	82900.179893390368657,	0.0016068914084536,	1
BRIDGE.BTC/BRIDGE.FTON,	65110,	14165175,	82900.179893390368657,	0,	53.976307128586,	2
BRIDGE.BTC/BRIDGE.VITAE,	21428129,	12854753982,	82900.179893390368657,	1000000,	17763.957488788,	25
BRIDGE.VIVO/BRIDGE.BTC,	30639407602,	1143632,	0.00000499015928114,	82900.179893390368657,	0.015289552421375,	33
BRIDGE.CSTL/BRIDGE.BTC,	207000049,	18837,	0,	82900.179893390368657,	15.615906886518,	1
BRIDGE.BTC/BRIDGE.EVOS,	388232367,	5055539004375,	82900.179893390368657,	1,	321845.33064737,	763
BRIDGE.ZNY/BRIDGE.XP,	15728096,	323623374,	0.2,	0.00015,	3.1456192,	1
BRIDGE.XDOGE/BRIDGE.DRV,	40136,	200680005,	0.04,	0.00009000000009,	1.60544,	1
BRIDGE.BTC/BRIDGE.LABX,	103113378,	15296139806,	82900.179893390368657,	0,	85481.175856152,	89
BRIDGE.XDOGE/BRIDGE.BTC,	46649377,	2341839,	0.04,	82900.179893390368657,	1865.97508,	11
BRIDGE.DRV/BTS,	200277778,	180250,	0.00009000000009,	0,	1.8025000038025,	1
BTS/BRIDGE.BCH,	29939,	3596,	0,	8325.3899082568807339,	0.29938102110092,	1
BRIDGE.PDX/BRIDGE.BTC,	59176973816,	747274,	0.01136500000026452,	82900.179893390368657,	672.54630743449,	6
BRIDGE.BTC/BRIDGE.1X2,	3026029,	2490952520,	82900.179893390368657,	0,	2508.5834846262,	8
BRIDGE.CDM/BRIDGE.BTC,	3046536988100,	8350824,	0.000470300000000505,	82900.179893390368657,	1432.786345505,	100
BRIDGE.BTC/BRIDGE.XDOGE,	19145827,	376415361,	82900.179893390368657,	0.04,	15871.925025077,	61
BRIDGE.BTC/BRIDGE.XMCC,	70755,	1949757243,	82900.179893390368657,	0.05319220000006288,	58.656022283568,	7
BRIDGE.BTC/BRIDGE.ZNZ,	2303,	47000004,	82900.179893390368657,	0,	1.9091911429448,	2
BRIDGE.MONA/BRIDGE.ZNY,	310290888,	24916273415,	9.35,	0.2,	2901.2198028,	92
BRIDGE.BTC/BRIDGE.BAT,	116314,	2400280,	82900.179893390368657,	0,	96.424515241198,	4
BRIDGE.BTC/BRIDGE.RAP,	4,	4842500,	82900.179893390368657,	0.00004071,	0.0033160071957356,	1
BRIDGE.BTC/BRIDGE.GTM,	10996218,	10060434189,	82900.179893390368657,	0.21834061135371179,	9115.8845034694,	43
BRIDGE.BTC/BRIDGE.ZCR,	5276,	2720542,	82900.179893390368657,	0.0001394239282134,	4.3738134911753,	3
BRIDGE.BTC/BRIDGE.DASH,	40315103,	1907724833,	82900.179893390368657,	1604.6235181591834798,	33421.292911206,	15
BRIDGE.ZNY/BTS,	151016338,	794950,	0.2,	0,	30.2032676,	1
BRIDGE.BTC/BRIDGE.COLX,	287166,	287166069,	82900.179893390368657,	0.00099999349967660891,	238.06113059265,	4
BRIDGE.PAC/BRIDGE.BTC,	7884188655,	15768423,	0.00012020000000110584,	82900.179893390368657,	94.767947633972,	26
BRIDGE.SSX/BRIDGE.BTC,	34536724685,	1883417,	0.00050001000000049,	82900.179893390368657,	1.7268707709764,	6
BRIDGE.XLR/BRIDGE.BTC,	989137,	1548,	12.04819930324058609,	82900.179893390368657,	1.1917319714209,	1
BRIDGE.OLMP/BRIDGE.BTC,	1284979148046,	1126381,	0.00799995540094549,	82900.179893390368657,	1027.9775875513,	6
BRIDGE.BTC/BRIDGE.BTXC,	703496,	3357980772,	82900.179893390368657,	0,	583.19944954281,	2
BRIDGE.BTC/BRIDGE.BLCR,	2713444508,	81271158082,	82900.179893390368657,	0,	2249450.3784393,	250
BRIDGE.BTC/BRIDGE.MANO,	516160,	7054001608,	82900.179893390368657,	0.00066670000000036,	427.89756853772,	9
BRIDGE.STM/BRIDGE.BTC,	12195166432,	40076,	0,	82900.179893390368657,	33.223076094075,	11
BRIDGE.BTC/BRIDGE.SINS,	775910184,	119438974633,	82900.179893390368657,	0,	643230.93834714,	304
BRIDGE.XRP/BRIDGE.BTC,	24458568961,	19672121,	5.00002000008000032,	82900.179893390368657,	12229.333397834,	27
BRIDGE.BTC/BRIDGE.UFO,	46830,	1232387430,	82900.179893390368657,	0.000200500000002807,	38.822154244075,	1
BRIDGE.BTC/BRIDGE.BCA,	5549513,	9078861613,	82900.179893390368657,	0.07256894049346879,	4600.5562602071,	8
BRIDGE.CRAVE/BRIDGE.BTC,	750269462,	125295,	0.0781000000069509,	82900.179893390368657,	58.596044987415,	3
BRIDGE.FDC/BRIDGE.BTC,	3711177053,	3752,	0,	82900.179893390368657,	3.1104147496,	1
BRIDGE.CTT/BRIDGE.BTC,	3587338199,	15714919,	0,	82900.179893390368657,	13027.696121101,	30
BRIDGE.BITG/BRIDGE.BTC,	23260435106,	16307924,	3.42959877547086047,	82900.179893390368657,	7977.3959756457,	41
BRIDGE.WVC/BRIDGE.BTC,	279245368,	8336801,	0,	82900.179893390368657,	6911.223026354,	18
BRIDGE.JEW/BRIDGE.BTC,	1343000000,	2686,	0.00408280000000483,	82900.179893390368657,	0.54832004000065,	2
BRIDGE.VITAE/BRIDGE.BTC,	8255171593,	12496155,	1000000,	82900.179893390368657,	825517159.3,	19
BRIDGE.BTC/BRIDGE.DACHX,	1616827,	144980187865,	82900.179893390368657,	0,	1340.3524915649,	19
BRIDGE.BTC/BRIDGE.RCO,	467779,	468793159345,	82900.179893390368657,	0.00071490000000014,	387.7896325035,	16
BRIDGE.BTC/ZILLIQA,	1529725,	1529725,	82900.179893390368657,	0,	1268.1447768742,	31
BRIDGE.BTC/BRIDGE.BTCHP,	9903101,	214878582,	82900.179893390368657,	0,	8209.6885440241,	15
BRIDGE.P2P/BRIDGE.BTC,	45397397566,	20735454,	0,	82900.179893390368657,	17189.728667711,	56
BRIDGE.XGS/BRIDGE.BTC,	6257490910,	171607,	0,	82900.179893390368657,	142.26251170965,	4
BRIDGE.XDOGE/BRIDGE.XP,	3916677,	114591821066,	0.04,	0.00015,	156.66708,	12
BRIDGE.AEG/BRIDGE.BTC,	772382317973,	4188353,	0.00082786412329826,	82900.179893390368657,	63.94276105198,	8
BRIDGE.BTC/BRIDGE.PCR,	1124809547,	1449055267869,	82900.179893390368657,	0,	932469.13792103,	353
BRIDGE.BTC/BRIDGE.ATHR,	995565,	169972648733,	82900.179893390368657,	0,	825.32517595563,	13
BRIDGE.XP/BRIDGE.RVN,	144532543299,	2893558,	0.00015,	0.6100099,	216.7988149485,	10
BRIDGE.DIN/BRIDGE.BTC,	473518520,	2557,	0.000001,	82900.179893390368657,	4.7351852e-05,	2
BRIDGE.USDT/BTS,	50547,	9600793,	21.73912830824411716754,	0,	109.88477185968,	2
BTS/BRIDGE.LTC,	24,	18,	0,	995.4245096019513782,	0.00017917641172835,	1
BRIDGE.BTC/BRIDGE.SND,	108548186,	2803476101754,	82900.179893390368657,	0,	89986.641465012,	194
BRIDGE.XBI/BRIDGE.BTC,	2650372331,	610343,	0,	82900.179893390368657,	505.97544496672,	10
BRIDGE.BTC/RUDEX.BTC,	9313185,	9247426,	82900.179893390368657,	84911.5565,	7720.6471188042,	31
BRIDGE.BTC/BRIDGE.XRP,	3376401,	4099968461,	82900.179893390368657,	5.00002000008000032,	2799.0425029222,	24
BRIDGE.BTC/ESCODEX.BTC,	417259,	416426,	82900.179893390368657,	80345.7751854534066665,	345.90846162136,	1
BRIDGE.PRX/BRIDGE.ZNY,	385468985,	91783901,	0.000286000000000286,	0.2,	0.11024412971011,	3
BRIDGE.DGB/BRIDGE.BTC,	632536207513,	1841636,	0.295999998414175,	82900.179893390368657,	1872.3071642076,	8
BRIDGE.BETX/BRIDGE.BTC,	1119449541285,	122020,	0.005,	82900.179893390368657,	559.7247706425,	1
BRIDGE.NPXS/BRIDGE.BTC,	45741,	741,	0,	82900.179893390368657,	0.61429033301002,	2
BRIDGE.BTC/BRIDGE.EXUS,	420,	100061994,	82900.179893390368657,	0.00180999999993001,	0.34818075555224,	2
BRIDGE.BTC/BRIDGE.RUPX,	151299,	17000016702,	82900.179893390368657,	0.00781300000001553,	125.4271431769,	1
BRIDGE.LTC/BRIDGE.RVN,	370387506,	61100953,	995.4245096019513782,	0.6100099,	3686.9280152274,	24
BRIDGE.HTML/BRIDGE.ZNY,	638816281,	856830905,	0.00499999980756546411,	0.2,	319.40812820697,	11
BRIDGE.BTC/BRIDGE.AEG,	526644,	94043633562,	82900.179893390368657,	0.00082786412329826,	436.58882339775,	2
BRIDGE.BTC/BRIDGE.PAWS,	230231,	165702605,	82900.179893390368657,	3.10000100099032321,	190.86191317035,	1
BRIDGE.LTC/BTS,	1074262,	1069325,	995.4245096019513782,	0,	10.69346724534,	40
BRIDGE.TES/BRIDGE.BTC,	22223,	1,	0,	82900.179893390368657,	0.0008290017989339,	1
BRIDGE.CARE/BRIDGE.BTC,	18209836036,	111080,	0.0000012,	82900.179893390368657,	0.0218518032432,	4
BRIDGE.BTC/BRIDGE.INGY,	1409142,	3817781851,	82900.179893390368657,	0,	1168.1812529533,	3
BRIDGE.RSP/BRIDGE.BTC,	264000000,	132,	0,	82900.179893390368657,	0.10942823745928,	1
BRIDGE.ENCO/BRIDGE.BTC,	1132252253,	12568,	0,	82900.179893390368657,	10.418894609001,	1
BRIDGE.BTC/BRIDGE.BTCC,	1940165,	4904664573,	82900.179893390368657,	2.33300004875988739,	1608.4002752286,	5
BRIDGE.CATO/BRIDGE.BTC,	2582602885,	101974,	0,	82900.179893390368657,	84.536629444486,	4
BRIDGE.GIC/BRIDGE.BTC,	11098546525,	7096464,	0,	82900.179893390368657,	5882.9814220697,	26
BRIDGE.BTC/BRIDGE.DEV,	181550,	958058438,	82900.179893390368657,	0.60000002400000096,	150.50527659645,	2
BRIDGE.MOBI/BRIDGE.BTC,	48552942478,	449454886,	0,	82900.179893390368657,	372598.90903363,	218
CNY/BRIDGE.ZNY,	872593,	1659480451,	3.18471338094078683792,	0.2,	277.89586032153,	9
BRIDGE.BTDX/BRIDGE.ZNY,	37419,	421,	0,	0.2,	8.42e-05,	1
BRIDGE.NEET/BRIDGE.BTC,	80113638,	2115,	0.02500010000008749,	82900.179893390368657,	0.20028489613708,	2
BRIDGE.WC/BRIDGE.BTC,	392076492,	821430,	0,	82900.179893390368657,	680.96694769828,	8
BRIDGE.MEDIC/BRIDGE.BTC,	10765692298,	144360,	0.019880715705765407,	82900.179893390368657,	214.02966795229,	4
BRIDGE.YCE/BRIDGE.BTC,	416320,	5,	0.000001,	82900.179893390368657,	4.1632e-07,	1
BRIDGE.BTC/BRIDGE.ADD,	35516,	628601769,	82900.179893390368657,	0,	29.442827890937,	1
BRIDGE.BTC/BRIDGE.GIC,	13260643,	19922749394,	82900.179893390368657,	0,	10993.09690202,	25
BRIDGE.BTDX/BRIDGE.BTC,	204491194,	1745,	0,	82900.179893390368657,	1.4466081391397,	3
BRIDGE.MERI/BRIDGE.BTC,	125549286925,	69101438,	0,	82900.179893390368657,	57285.21641092,	2
BRIDGE.NRG/BRIDGE.BTC,	748705,	25113,	16,	82900.179893390368657,	11.97928,	2
BRIDGE.EXCL/BRIDGE.BTC,	7936091,	1591,	0,	82900.179893390368657,	1.3189418621038,	4
BRIDGE.SMART/BTS,	13063166,	3393812,	0.2598001599849385187,	0,	33.938126167098,	3
BRIDGE.BTC/BRIDGE.SMART,	39686650,	13754562539,	82900.179893390368657,	0.2598001599849385187,	32900.30424366,	67
BRIDGE.BTC/BRIDGE.STONE,	148381,	47303114584,	82900.179893390368657,	0.00653600000003383,	123.00811592761,	8
BRIDGE.VTAR/BRIDGE.BTC,	11296000000,	11296,	0.000130370000003067,	82900.179893390368657,	1.4726595200346,	2
BRIDGE.BTC/BRIDGE.ZNY,	259637506,	1229245516165,	82900.179893390368657,	0.2,	215239.95954471,	292
BRIDGE.ZCR/BRIDGE.BTC,	121239,	85,	0.0001394239282134,	82900.179893390368657,	1.6903617632664e-06,	1
BRIDGE.BTC/BRIDGE.OLMP,	16997794,	19945730626491,	82900.179893390368657,	0.00799995540094549,	14091.201803908,	6
BRIDGE.XDNA/BRIDGE.BTC,	1904254565,	971579,	0.11236000000179776,	82900.179893390368657,	213.96204292682,	12
BRIDGE.GOSS/BRIDGE.BTC,	78866667,	4732,	0.0000102000000000285,	82900.179893390368657,	0.0080444000340225,	2
BRIDGE.BTC/OPEN.BTC,	51274564,	50881945,	82900.179893390368657,	83525.5837782352214865,	42506.705795552,	57
BRIDGE.XSG/BRIDGE.BTC,	895800704,	135363,	0,	82900.179893390368657,	112.21617050909,	9
BTS/BRIDGE.XP,	5905340,	23622974467,	0,	0.00015,	35.4344617005,	4
BRIDGE.BTC/BRIDGE.FOIN,	10111,	3845,	82900.179893390368657,	0.05422993492407809,	8.3820371890207,	20
OPEN.DASH/BRIDGE.DASH,	1292713816,	1281133856,	1850,	1604.6235181591834798,	23915.205596,	58
BRIDGE.BTC/BRIDGE.LCC,	5371039,	22965935124,	82900.179893390368657,	0.1000001000001,	4452.6009931442,	41
BRIDGE.BTC/BRIDGE.IFX,	19635985,	405334904648,	82900.179893390368657,	1.92307692307692307,	16278.266888839,	49
BRIDGE.BTC/BRIDGE.GRLC,	1,	142836,	82900.179893390368657,	0.00021100000000004,	0.0008290017989339,	1
BRIDGE.SATC/BRIDGE.BTC,	2776808620,	5412,	0,	82900.179893390368657,	4.4865577358303,	1
BRIDGE.MONA/BRIDGE.RVN,	6,	2,	9.35,	0.6100099,	5.61e-05,	1
BRIDGE.BZL/BRIDGE.BTC,	5359997609,	9380,	0.0010111999999999,	82900.179893390368657,	0.054200295822203,	1
BRIDGE.KNG/BRIDGE.BTC,	16670067311,	1335414,	0.00101310000000019,	82900.179893390368657,	1.6888445192777,	3
BRIDGE.BTC/BRIDGE.VIVO,	4706,	103136806,	82900.179893390368657,	0.00000499015928114,	3.901282465783,	2
BRIDGE.BTC/BRIDGE.CCBC,	51,	10000066,	82900.179893390368657,	0,	0.042279091745629,	1
BRIDGE.BTC/BRIDGE.XMN,	92363,	20205913852,	82900.179893390368657,	0.0000739,	76.569093154932,	7
BRIDGE.VRSC/BRIDGE.BTC,	1914895,	387,	0,	82900.179893390368657,	0.32082369618742,	2
BRIDGE.XP/BRIDGE.XDOGE,	76602204227,	2550285,	0.00015,	0.04,	114.9033063405,	3
BRIDGE.BTC/BRIDGE.LRM,	138529584,	63460380922,	82900.179893390368657,	0,	114841.27434157,	112
BRIDGE.GMCN/BRIDGE.BTC,	45894512456,	28522,	0.00001102,	82900.179893390368657,	0.050575752726512,	3
BRIDGE.BTC/BRIDGE.LOBS,	85550,	4580756940,	82900.179893390368657,	0.00100010000000566,	70.921103898795,	5
BRIDGE.FLASH/BRIDGE.BTC,	6076924,	316,	0.034900000075849333,	82900.179893390368657,	0.21208464806093,	1
BRIDGE.XMN/BRIDGE.RVN,	20161070052,	1028218,	0.0000739,	0.6100099,	0.14899030768428,	2
BRIDGE.BTC/BRIDGE.MARC,	25490464,	78875655482,	82900.179893390368657,	0.00200010000000775,	21131.64051166,	63
BRIDGE.XSH/BRIDGE.ZNY,	12479354460,	1002453147,	0.020966000000735906,	0.2,	261.64214561754,	12
BRIDGE.DVD/BRIDGE.BTC,	1782683225,	10989,	0,	82900.179893390368657,	9.1099007684847,	3
BRIDGE.BTC/BRIDGE.VNX,	603181,	37552498904,	82900.179893390368657,	0,	500.03813408275,	12
BRIDGE.NZL/BRIDGE.BTC,	55760540594,	558085,	0.01000009999789994,	82900.179893390368657,	55.761098187696,	3
BRIDGE.BTC/BRIDGE.XZC,	192457,	13628668,	82900.179893390368657,	0.09524100000151779,	159.54719921742,	2
BRIDGE.XUEZ/BRIDGE.BTC,	5397269591,	303024,	0,	82900.179893390368657,	251.20744112015,	5
BRIDGE.FOIN/BRIDGE.BTC,	1555344207,	4180216012,	0.05422993492407809,	82900.179893390368657,	8.4346215130152,	209
BRIDGE.BTCHP/BRIDGE.BTC,	208595293,	9912753,	0,	82900.179893390368657,	8217.6900693875,	11
BRIDGE.CMM/BRIDGE.BTC,	135518520,	18295,	0.000125100000000113,	82900.179893390368657,	0.016953366852015,	3
BRIDGE.DRV/BRIDGE.XDOGE,	15266666,	916,	0.00009000000009,	0.04,	0.1373999941374,	1
BRIDGE.CCBC/BRIDGE.BTC,	209203600308,	880474,	0,	82900.179893390368657,	729.91452991453,	6
BRIDGE.INGY/BRIDGE.BTC,	362311880,	44443,	0,	82900.179893390368657,	36.843326950019,	2
BRIDGE.BTC/BRIDGE.SCH,	6052,	185960234,	82900.179893390368657,	0,	5.017118887148,	5
BRIDGE.BTC/BRIDGE.PDX,	29,	1000000,	82900.179893390368657,	0.01136500000026452,	0.024041052169083,	1
BRIDGE.XSH/BTS,	343028714,	719194,	0.020966000000735906,	0,	7.1919400179764,	1
BRIDGE.BTC/BRIDGE.ZEC,	5016298,	38499248,	82900.179893390368657,	0,	4158.5200659885,	13
BRIDGE.BTC/BRIDGE.PRX,	31636958,	243817403484,	82900.179893390368657,	0.000286000000000286,	26227.095094796,	138
BRIDGE.LGS/BRIDGE.BTC,	89805715681,	18225782,	0.00200010000000375,	82900.179893390368657,	17.96204119339,	64
BRIDGE.MONA/BRIDGE.BTC,	1134942,	13629,	9.35,	82900.179893390368657,	10.6117077,	6
BRIDGE.1X2/BRIDGE.BTC,	108348187344,	120399931,	0,	82900.179893390368657,	99811.759390518,	118
BRIDGE.PGN/BRIDGE.PRX,	24708135,	27800210,	0.00121448000020325537,	0.000286000000000286,	3.0007535799822,	2
BRIDGE.WCF/BRIDGE.BTC,	1647346040292,	15471600,	0,	82900.179893390368657,	12825.984232386,	89
PARABOLA/BRIDGE.RVN,	164230540,	483031,	0.0222222222222222222,	0.6100099,	36.495675555556,	1
BRIDGE.BTC/BRIDGE.AGM,	141839,	7883657202,	82900.179893390368657,	0.0000111519980533,	117.58478615899,	4
BRIDGE.PHON/BRIDGE.BTC,	2783190781465,	32021496,	0,	82900.179893390368657,	26545.877788555,	65
BRIDGE.VTC/BRIDGE.BTC,	755277930,	765650,	3.80001000314633228,	82900.179893390368657,	287.00636891557,	7
BRIDGE.BTC/BRIDGE.RESC,	238146,	478045555,	82900.179893390368657,	0,	197.42346240891,	3
